y,Jurisdiction_encoded,Sub-stream,Category_encoded,Type_encoded,Management_encoded,Fate_encoded,ds_encoded
5,0,C&I (mining),0,0,0,0,1
0,0,C&I (mining),0,0,1,0,1
0,0,C&I (mining),0,0,2,1,1
0,0,C&I (mining),0,0,3,2,1
5,0,Total,0,0,0,0,1
0,0,Total,0,0,1,0,1
0,0,Total,0,0,2,1,1
0,0,Total,0,0,3,2,1
28,0,C&I (mining),0,1,0,0,1
44,0,C&I (mining),0,1,1,0,1
14,0,C&I (mining),0,1,2,1,1
19,0,C&I (mining),0,1,3,2,1
28,0,Total,0,1,0,0,1
44,0,Total,0,1,1,0,1
14,0,Total,0,1,2,1,1
19,0,Total,0,1,3,2,1
11,0,C&I (mining),0,2,0,0,1
49,0,C&I (mining),0,2,1,0,1
0,0,C&I (mining),0,2,2,1,1
0,0,C&I (mining),0,2,3,2,1
11,0,Total,0,2,0,0,1
49,0,Total,0,2,1,0,1
0,0,Total,0,2,2,1,1
0,0,Total,0,2,3,2,1
18,0,C&I (mining),0,3,0,0,1
54,0,C&I (mining),0,3,1,0,1
3,0,C&I (mining),0,3,2,1,1
1,0,C&I (mining),0,3,3,2,1
18,0,Total,0,3,0,0,1
54,0,Total,0,3,1,0,1
3,0,Total,0,3,2,1,1
1,0,Total,0,3,3,2,1
24,0,C&I (mining),0,4,0,0,1
52,0,C&I (mining),0,4,1,0,1
0,0,C&I (mining),0,4,2,1,1
3,0,C&I (mining),0,4,3,2,1
24,0,Total,0,4,0,0,1
52,0,Total,0,4,1,0,1
0,0,Total,0,4,2,1,1
3,0,Total,0,4,3,2,1
5,0,C&I (mining),0,5,0,0,1
38,0,C&I (mining),0,5,1,0,1
0,0,C&I (mining),0,5,2,1,1
33,0,C&I (mining),0,5,3,2,1
5,0,Total,0,5,0,0,1
38,0,Total,0,5,1,0,1
0,0,Total,0,5,2,1,1
33,0,Total,0,5,3,2,1
15,0,C&I (mining),0,6,0,0,1
45,0,C&I (mining),0,6,1,0,1
0,0,C&I (mining),0,6,2,1,1
27,0,C&I (mining),0,6,3,2,1
15,0,Total,0,6,0,0,1
45,0,Total,0,6,1,0,1
0,0,Total,0,6,2,1,1
27,0,Total,0,6,3,2,1
12,0,C&I (mining),0,7,0,0,1
37,0,C&I (mining),0,7,1,0,1
31,0,C&I (mining),0,7,2,1,1
16,0,C&I (mining),0,7,3,2,1
12,0,Total,0,7,0,0,1
37,0,Total,0,7,1,0,1
31,0,Total,0,7,2,1,1
16,0,Total,0,7,3,2,1
0,0,C&I (mining),0,8,0,0,1
0,0,C&I (mining),0,8,1,0,1
0,0,C&I (mining),0,8,2,1,1
0,0,C&I (mining),0,8,3,2,1
0,0,Total,0,8,0,0,1
0,0,Total,0,8,1,0,1
0,0,Total,0,8,2,1,1
0,0,Total,0,8,3,2,1
13,0,C&I (mining),0,9,0,0,1
42,0,C&I (mining),0,9,1,0,1
0,0,C&I (mining),0,9,2,1,1
1,0,C&I (mining),0,9,3,2,1
13,0,Total,0,9,0,0,1
42,0,Total,0,9,1,0,1
0,0,Total,0,9,2,1,1
1,0,Total,0,9,3,2,1
2,0,C&I (mining),0,10,0,0,1
40,0,C&I (mining),0,10,1,0,1
0,0,C&I (mining),0,10,2,1,1
29,0,C&I (mining),0,10,3,2,1
2,0,Total,0,10,0,0,1
40,0,Total,0,10,1,0,1
0,0,Total,0,10,2,1,1
29,0,Total,0,10,3,2,1
9,0,C&I (mining),0,11,0,0,1
50,0,C&I (mining),0,11,1,0,1
25,0,C&I (mining),0,11,2,1,1
4,0,C&I (mining),0,11,3,2,1
9,0,Total,0,11,0,0,1
50,0,Total,0,11,1,0,1
25,0,Total,0,11,2,1,1
4,0,Total,0,11,3,2,1
0,0,C&I (mining),0,0,0,0,0
0,0,C&I (mining),0,0,1,0,0
0,0,C&I (mining),0,0,2,1,0
0,0,C&I (mining),0,0,3,2,0
30,0,C&I (mining),0,1,0,0,0
46,0,C&I (mining),0,1,1,0,0
15,0,C&I (mining),0,1,2,1,0
21,0,C&I (mining),0,1,3,2,0
10,0,C&I (mining),0,2,0,0,0
48,0,C&I (mining),0,2,1,0,0
0,0,C&I (mining),0,2,2,1,0
0,0,C&I (mining),0,2,3,2,0
17,0,C&I (mining),0,3,0,0,0
53,0,C&I (mining),0,3,1,0,0
1,0,C&I (mining),0,3,2,1,0
0,0,C&I (mining),0,3,3,2,0
20,0,C&I (mining),0,4,0,0,0
51,0,C&I (mining),0,4,1,0,0
0,0,C&I (mining),0,4,2,1,0
1,0,C&I (mining),0,4,3,2,0
23,0,C&I (mining),0,5,0,0,0
35,0,C&I (mining),0,5,1,0,0
0,0,C&I (mining),0,5,2,1,0
34,0,C&I (mining),0,5,3,2,0
7,0,C&I (mining),0,6,0,0,0
41,0,C&I (mining),0,6,1,0,0
0,0,C&I (mining),0,6,2,1,0
26,0,C&I (mining),0,6,3,2,0
0,0,C&I (mining),0,7,0,0,0
36,0,C&I (mining),0,7,1,0,0
